ZIPCODE,Normalized Score
10001,0.955859475
10002,0.863229719
10003,0.927280604
10004,0.936242687
10005,0.983888889
10007,0.973774767
10009,0.907813087
10010,0.953302118
10011,0.946098139
10012,0.937660806
10013,0.885107166
10014,0.928509845
10016,0.89071617
10017,0.961453947
10018,0.991699605
10019,0.812148348
10021,0.475412588
10022,0.949917905
10023,0.949390205
10024,0.963331339
10025,0.915244618
10026,0.884831697
10027,0.896109753
10028,0.864273226
10029,0.888763484
10030,0.85664639
10031,0.887526202
10032,0.853439819
10033,0.881425494
10034,0.897624656
10035,0.899026944
10036,0.953560493
10037,0.84467691
10038,0.915608009
10039,0.892463896
10040,0.893851757
10065,0.938568716
10128,0.910877628
10280,0.987554113
10301,0.936968061
10302,0.934507921
10303,0.964484161
10304,0.915968844
10305,0.921630714
10306,0.916216163
10307,0.9433048
10308,0.869989142
10309,0.935013606
10310,0.945712738
10312,0.914415874
10314,0.943782524
10451,0.940559482
10452,0.889329878
10453,0.891371013
10454,0.875439219
10455,0.91402353
10456,0.882945563
10457,0.885469449
10458,0.875987457
10459,0.938654194
10460,0.897864169
10461,0.933982875
10462,0.934353563
10463,0.910593102
10464,0.623323239
10465,0.897480634
10466,0.92462166
10467,0.918613463
10468,0.85815689
10469,0.907200439
10470,0.928479178
10471,0.868140179
10472,0.908072665
10473,0.914000388
10474,0.920626215
10475,0.895417747
11003,0.912543167
11004,0.912288463
11101,0.94054357
11102,0.897556465
11103,0.865950671
11104,0.845918098
11105,0.887331065
11106,0.890828073
11201,0.896272503
11203,0.881398712
11204,0.806134871
11205,0.88618348
11206,0.858707292
11207,0.876228973
11208,0.850698273
11209,0.859163157
11210,0.879180991
11211,0.91812039
11212,0.892149225
11213,0.893268766
11214,0.82686697
11215,0.909064084
11216,0.889896494
11217,0.874765085
11218,0.877106089
11219,0.865118226
11220,0.867252659
11221,0.884784783
11222,0.872039725
11223,0.820815893
11224,0.875390048
11225,0.908919725
11226,0.901437001
11228,0.903581624
11229,0.846067391
11230,0.872146185
11231,0.900416929
11232,0.875643653
11233,0.869867928
11234,0.888104916
11235,0.877511361
11236,0.865820316
11237,0.898590873
11238,0.920863597
11354,0.924198926
11355,0.912596327
11356,0.913733546
11357,0.931962937
11358,0.918361226
11359,0.947833988
11360,0.94373619
11361,0.906035301
11362,0.88250928
11363,0.934397984
11364,0.9067892
11365,0.930362724
11366,0.955204216
11367,0.899778182
11368,0.896523647
11369,0.889107816
11370,0.92924629
11372,0.928174031
11373,0.899014887
11374,0.90338811
11375,0.893971744
11377,0.713458916
11378,0.932780936
11379,0.94558328
11385,0.84983411
11411,0.851321613
11412,0.869116539
11413,0.909440749
11414,0.830697188
11415,0.93099841
11416,0.907633854
11417,0.919439468
11418,1
11419,0.926899246
11420,0.905455908
11421,0.937292102
11422,0.85880743
11423,0.858866293
11426,0.918629318
11427,0.914628892
11428,0.971428571
11429,0.946575109
11432,0.917611796
11433,0.87646407
11434,0.883833604
11435,0.887949104
11436,0.916091183
11691,0.863416154
11692,0.895586892
11693,0.910767618
11694,0.898923287
